,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
11,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,"SC Ganguly, BB McCullum, RT Ponting, WP Saha, DJ Hussey","JDP Oram, MS Gony, P Amarnath",61
12,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"L Ronchi, ST Jayasuriya, AM Rahane, RV Uthappa, SM Pollock","RP Singh, DNT Zoysa, SB Bangar, Shahid Afridi",27
13,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"G Gambhir, V Sehwag, S Dhawan, Shoaib Malik","B Lee, IK Pathan, S Sreesanth, VRV Singh",45
14,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, ML Hayden, MEK Hussey","DW Steyn, Z Khan, P Kumar",36
15,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"BB McCullum, SC Ganguly, RT Ponting, DB Das, DJ Hussey","SM Pollock, A Nehra, CRD Fernando, DS Kulkarni, DJ Bravo",40
16,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir, V Sehwag, S Dhawan","DW Steyn, Z Khan, P Kumar",58
17,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, VVS Laxman, HH Gibbs","S Sreesanth, IK Pathan, VRV Singh",50
18,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"GC Smith, SA Asnodkar, M Kaif","AB Dinda, I Sharma, AB Agarkar, Umar Gul",45
19,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"PA Patel, SP Fleming, S Vidyut","GD McGrath, Mohammad Asif, VY Mahesh, PJ Sangwan",47
20,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs","A Kumble, DW Steyn, JH Kallis",41
21,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"SE Marsh, JR Hopes, KC Sangakkara","I Sharma, AB Agarkar, AB Dinda",49
22,Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,"YV Takawale, ST Jayasuriya","GD McGrath, Mohammad Asif, VY Mahesh",50
23,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"PA Patel, S Vidyut, SP Fleming, SK Raina, S Badrinath, MS Dhoni","Sohail Tanvir, SR Watson, MM Patel, SK Trivedi",38
24,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"W Jaffer, CL White, JH Kallis, V Kohli, R Dravid","S Sreesanth, IK Pathan, Gagandeep Singh",26
25,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"PA Patel, S Anirudha, SP Fleming, SK Raina, S Badrinath","DP Vijaykumar, RP Singh, SB Styris",34
26,Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,"GC Smith, SA Asnodkar, YK Pathan, SR Watson","SM Pollock, A Nehra, DS Kulkarni",48
27,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"G Gambhir, V Sehwag, AB de Villiers, S Dhawan","MS Gony, JA Morkel",50
28,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"A Chopra, BJ Hodge, SC Ganguly, DJ Hussey","DW Steyn, Z Khan, P Kumar, R Vinay Kumar",41
29,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist, HH Gibbs","Sohail Tanvir, SR Watson, MM Patel",50
30,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"MV Boucher, SP Goswami, Misbah-ul-Haq","SM Pollock, A Nehra, CRD Fernando",36
31,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"S Vidyut, SK Raina, SP Fleming, S Badrinath","S Sreesanth, IK Pathan, VRV Singh",53
32,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"Salman Butt, SC Ganguly, A Chopra","WPUJC Vaas, DP Vijaykumar, SB Styris, RP Singh",43
33,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag","AD Mascarenhas, SR Watson, MM Patel",47
34,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"J Arunkumar, V Kohli, Misbah-ul-Haq, R Dravid, CL White","S Sreesanth, IK Pathan, PP Chawla",50
35,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"Salman Butt, A Chopra","GD McGrath, PJ Sangwan, VY Mahesh",35
36,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"S Vidyut, SP Fleming, SK Raina, S Badrinath","SM Pollock, A Nehra, DJ Bravo",28
37,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"SE Marsh, JR Hopes","MM Patel, SR Watson, Pankaj Singh",51
38,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,"G Gambhir, V Sehwag, S Dhawan","DP Vijaykumar, RP Singh, PM Sarvesh Kumar",48
39,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"Salman Butt, A Chopra, SC Ganguly, DJ Hussey, Mohammad Hafeez","SM Pollock, A Nehra, DJ Bravo",27
40,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"G Gambhir, V Sehwag","S Sreesanth, IK Pathan, VRV Singh",68
41,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith, SA Asnodkar","Z Khan, P Kumar, JH Kallis",51
42,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"ST Jayasuriya, SR Tendulkar, DJ Thornely","DP Vijaykumar, DNT Zoysa, Y Venugopal Rao, RP Singh",57
43,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"Salman Butt, Mohammad Hafeez, SC Ganguly, DB Das","M Ntini, MS Gony",35
44,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis, B Chipli, SP Goswami","GD McGrath, PJ Sangwan, VY Mahesh",41
45,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"Salman Butt, Mohammad Hafeez, SC Ganguly","Sohail Tanvir, MM Patel, SR Watson",32
46,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"SE Marsh, JR Hopes, LA Pomersbach","SM Pollock, A Nehra, VS Yeligati",43
47,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"JH Kallis, SP Goswami, V Kohli, R Dravid","M Ntini, MS Gony",23
48,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, HH Gibbs","S Sreesanth, VRV Singh, RR Powar",42
49,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya, SR Tendulkar","GD McGrath, B Geeves, MF Maharoof, VY Mahesh",60
50,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"GC Smith, SA Asnodkar","M Ntini, MS Gony, JA Morkel",67
51,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"B Chipli, W Jaffer, V Kohli","DP Vijaykumar, RP Singh, SB Styris, Shahid Afridi",46
52,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"SE Marsh, JR Hopes, KC Sangakkara","Umar Gul, I Sharma, BAW Mendis",47
53,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"ST Jayasuriya, SR Tendulkar","Sohail Tanvir, SR Watson, Pankaj Singh, YK Pathan",29
54,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, HH Gibbs, SB Styris, Y Venugopal Rao","M Ntini, MS Gony",26
55,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,"GC Smith, SA Asnodkar","GD McGrath, Mohammad Asif, VY Mahesh",58
56,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,"SE Marsh, JR Hopes, KC Sangakkara, Yuvraj Singh, DPMD Jayawardene, IK Pathan","M Muralitharan, M Ntini, MS Gony",35
57,Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,"PA Patel, S Vidyut, SK Raina","Sohail Tanvir, SR Watson, MM Patel, YK Pathan",42
58,Newlands,1,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya, SR Tendulkar, S Dhawan","MS Gony, T Thushara, A Flintoff",40
59,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,"JD Ryder, LRPL Taylor, KP Pietersen, RV Uthappa, R Dravid","AD Mascarenhas, Kamran Khan, MM Patel",29
60,Newlands,1,Kings XI Punjab,Delhi Daredevils,"RS Bopara, K Goel","DP Nannes, AM Salvi, PJ Sangwan, VY Mahesh",67
61,Newlands,1,Kolkata Knight Riders,Deccan Chargers,"BB McCullum, CH Gayle, SC Ganguly, BJ Hodge, A Chopra","FH Edwards, RP Singh, Harmeet Singh",21
62,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, ML Hayden","P Kumar, DW Steyn, JH Kallis, R Vinay Kumar",68
63,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,"RS Bopara, K Goel, IK Pathan","I Sharma, AB Dinda, MC Henriques",46
64,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, HH Gibbs, VVS Laxman","P Kumar, DW Steyn, JH Kallis",62
65,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,"G Gambhir, AB de Villiers, V Sehwag, TM Dilshan","L Balaji, MS Gony, JA Morkel, A Flintoff",59
66,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,"GC Smith, PC Valthaty, RJ Quiney, YK Pathan","I Sharma, Anureet Singh, AB Agarkar",54
67,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"JD Ryder, RV Uthappa, JH Kallis, KP Pietersen, R Dravid","RR Bose, IK Pathan, YA Abdulla",49
68,Kingsmead,1,Deccan Chargers,Mumbai Indians,"AC Gilchrist, HH Gibbs","SL Malinga, Z Khan, DJ Bravo, Harbhajan Singh",55
69,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis, KP Pietersen, RV Uthappa, LRPL Taylor","DP Nannes, A Nehra, PJ Sangwan",45
70,Newlands,1,Kings XI Punjab,Rajasthan Royals,"RS Bopara, KC Sangakkara, Yuvraj Singh","Kamran Khan, AD Mascarenhas, MM Patel, YK Pathan",38
71,Kingsmead,1,Chennai Super Kings,Deccan Chargers,"PA Patel, SK Raina, ML Hayden","FH Edwards, RP Singh, DR Smith, Y Venugopal Rao",62
72,St George's Park,1,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya, SR Tendulkar","I Sharma, AB Dinda, SC Ganguly",61
73,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag, AB de Villiers, TM Dilshan","AD Mascarenhas, Kamran Khan, MM Patel",42
74,Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, BJ Hodge, CH Gayle, SC Ganguly","KP Pietersen, RE van der Merwe, Pankaj Singh, P Kumar, A Kumble",45
75,Kingsmead,1,Kings XI Punjab,Mumbai Indians,"RS Bopara, K Goel, KC Sangakkara, Yuvraj Singh","Z Khan, SL Malinga, Harbhajan Singh, DJ Bravo",26
76,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,"AC Gilchrist, HH Gibbs, AA Bilakhia, RG Sharma","DP Nannes, A Nehra, PJ Sangwan",37
77,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,"PA Patel, ML Hayden, SK Raina, S Badrinath","AD Mascarenhas, YK Pathan",40
78,Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya, SR Tendulkar, Harbhajan Singh, AM Nayar","I Sharma, AB Dinda, LR Shukla, M Kartik",40
79,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"JD Ryder, R Bishnoi, SP Goswami, JH Kallis","IK Pathan, VS Malik, YA Abdulla",38
80,St George's Park,1,Deccan Chargers,Rajasthan Royals,"HH Gibbs, AC Gilchrist, AA Bilakhia","YK Pathan, MM Patel, RA Jadeja, SM Harwood",39
81,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,"M Vijay, ML Hayden, SK Raina","DP Nannes, A Nehra, PJ Sangwan",53
82,St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,"BB McCullum, CH Gayle, BJ Hodge","RR Powar, IK Pathan, YA Abdulla, VS Malik",28
83,New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya, SR Tendulkar, AM Rahane, JP Duminy, DJ Bravo","P Kumar, JH Kallis, D du Preez",25
84,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,"M Vijay, ML Hayden","RJ Harris, RP Singh, DR Smith, RG Sharma",53
85,Kingsmead,1,Rajasthan Royals,Kings XI Punjab,"NV Ojha, GC Smith","RR Powar, IK Pathan, S Sreesanth, YA Abdulla",57
86,Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,"MN van Wyk, BB McCullum","DP Nannes, A Nehra, A Mishra, PJ Sangwan",54
87,SuperSport Park,1,Deccan Chargers,Mumbai Indians,"AC Gilchrist, HH Gibbs, TL Suman, RG Sharma","SL Malinga, DS Kulkarni, Harbhajan Singh, DJ Bravo",37
88,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,"JH Kallis, W Jaffer, RV Uthappa, R Dravid, V Kohli","A Singh, M Morkel, MM Patel, LA Carseldine",29
89,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,"S Badrinath, SK Raina, ML Hayden","IK Pathan, S Sreesanth, YA Abdulla, VRV Singh",57
90,Buffalo Park,1,Mumbai Indians,Delhi Daredevils,"L Ronchi, JP Duminy, PR Shah, SR Tendulkar","DP Nannes, A Nehra, PJ Sangwan",30
91,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, HH Gibbs, TL Suman","B Lee, IK Pathan, S Sreesanth",52
92,De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,"GC Smith, NV Ojha, SA Asnodkar","JA Morkel, S Tyagi, L Balaji, JDP Oram",34
93,St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya, SR Tendulkar, AM Rahane","JH Kallis, R Vinay Kumar, A Mithun",46
94,New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum, BJ Hodge, SC Ganguly, MN van Wyk, Yashpal Singh","A Nehra, DP Nannes, PJ Sangwan",37
95,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,"TL Suman, AC Gilchrist, RG Sharma","M Morkel, MM Patel, YK Pathan, SK Trivedi",42
96,SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum, SC Ganguly, AN Ghosh, DJ Hussey","R Vinay Kumar, JH Kallis",38
97,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,"S Sohal, SM Katich, IK Pathan, KC Sangakkara, Yuvraj Singh","SL Malinga, DS Kulkarni, DJ Bravo",51
98,Kingsmead,1,Delhi Daredevils,Deccan Chargers,"G Gambhir, DA Warner, TM Dilshan","RP Singh, WPUJC Vaas, A Symonds, Shoaib Ahmed",56
99,Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay, ML Hayden, SK Raina, MS Dhoni","A Kumble, R Vinay Kumar, P Kumar, JH Kallis",52
100,Kingsmead,1,Rajasthan Royals,Mumbai Indians,"RJ Quiney, GC Smith","DS Kulkarni, SL Malinga, DJ Bravo, JP Duminy",42
101,OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,"G Gambhir, V Sehwag, TM Dilshan, AB de Villiers","B Lee, IK Pathan, PP Chawla, S Sreesanth",38
102,St George's Park,1,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya, DJ Bravo, JP Duminy","JA Morkel, S Tyagi",49
103,New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,"BB McCullum, SC Ganguly, BJ Hodge","RJ Harris, RP Singh, A Symonds",31
104,New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,"S Sohal, SM Katich, LA Pomersbach, Yuvraj Singh, KC Sangakkara","RJ Harris, RP Singh, A Symonds",39
105,OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir, V Sehwag, AB de Villiers, TM Dilshan","MM Patel, A Singh, SK Trivedi",35
106,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,"PA Patel, GJ Bailey","AB Dinda, Anureet Singh, AB Agarkar, M Kartik, BJ Hodge",54
107,New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir, V Sehwag, M Manhas, AB de Villiers","P Kumar, JH Kallis, B Akhil",37
108,Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,"NV Ojha, RJ Quiney, SA Asnodkar, NK Patel, J Botha, YK Pathan","BJ Hodge, CK Langeveldt, AB Dinda, AB Agarkar",46
109,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,"GJ Bailey, PA Patel, SK Raina","B Lee, IK Pathan, RR Powar, S Sreesanth",50
110,SuperSport Park,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya, JP Duminy, SR Tendulkar, Mohammad Ashraful, AM Rahane","DP Nannes, AM Salvi, PJ Sangwan",30
111,SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis, MK Pandey, RE van der Merwe","RJ Harris, RP Singh, A Symonds",33
112,SuperSport Park,1,Delhi Daredevils,Deccan Chargers,"G Gambhir, DA Warner, V Sehwag, TM Dilshan","RJ Harris, RP Singh, PP Ojha",49
113,New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel, ML Hayden","P Kumar, JH Kallis, R Vinay Kumar, A Kumble",52
114,New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist, TL Suman, HH Gibbs, A Symonds","A Kumble, P Kumar, JH Kallis, R Vinay Kumar",31
115,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,"MK Tiwary, SC Ganguly, CA Pujara, BJ Hodge, OA Shah, AD Mathews","WPUJC Vaas, RP Singh, Jaskaran Singh",38
116,Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,"ST Jayasuriya, SR Tendulkar, AP Tare","AD Mascarenhas, SW Tait, Kamran Khan, A Uniyal",69
117,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"RS Bopara, MS Bisla, KC Sangakkara, Yuvraj Singh","DP Nannes, MF Maharoof, PJ Sangwan",44
118,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"JH Kallis, SP Goswami, MK Pandey, V Kohli","CK Langeveldt, I Sharma, AD Mathews, M Kartik",24
119,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,"AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds","JA Morkel, S Tyagi, M Muralitharan, R Ashwin",57
120,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,"SA Asnodkar, GC Smith, NV Ojha, YK Pathan","MF Maharoof, DP Nannes, A Mishra",47
121,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"RS Bopara, MS Bisla","P Kumar, DW Steyn, JH Kallis",50
122,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"M Vijay, ML Hayden, SK Raina","SE Bond, I Sharma, AD Mathews, LR Shukla",31
123,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya, SR Tendulkar, AP Tare","DP Nannes, MF Maharoof, PJ Sangwan, S Ladda",67
124,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"NV Ojha, MJ Lumb, DR Martyn","P Kumar, DW Steyn, R Vinay Kumar, JH Kallis",31
125,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"DA Warner, V Sehwag, TM Dilshan","JA Morkel, R Ashwin, Joginder Sharma, L Balaji",52
126,Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds","IK Pathan, S Sreesanth, SJ Srivastava, PP Chawla",56
127,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,"MJ Lumb, FY Fazal, NV Ojha, AA Jhunjhunwala","AB Dinda, I Sharma, SE Bond, AD Mathews",56
128,Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya, SR Tendulkar, AP Tare, SS Tiwary","P Kumar, DW Steyn, JH Kallis, R Vinay Kumar",45
129,Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,"MD Mishra, AC Gilchrist, HH Gibbs, A Symonds","A Mishra, DP Nannes, Y Nagar, S Ladda",47
130,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"RS Bopara, IK Pathan, KC Sangakkara","JA Morkel, MS Gony, R Ashwin, L Balaji",38
131,Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,"CH Gayle, SC Ganguly","SL Malinga, Z Khan, R McLaren, DJ Bravo",41
132,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"MK Pandey, JH Kallis, R Dravid","JA Morkel, S Tyagi, L Balaji",38
133,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"MJ Lumb, NV Ojha, FY Fazal","IK Pathan, S Sreesanth, SJ Srivastava",53
134,"Brabourne Stadium, Mumbai",1,Chennai Super Kings,Mumbai Indians,"PA Patel, ML Hayden, SK Raina, S Badrinath","R McLaren, Z Khan, Harbhajan Singh, DJ Bravo",51
135,"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist, VVS Laxman, HH Gibbs, A Symonds","S Narwal, AA Jhunjhunwala, SK Trivedi, SW Tait",55
136,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,"CH Gayle, SC Ganguly, Mandeep Singh, MK Tiwary","B Lee, IK Pathan, SJ Srivastava, VS Malik",50
137,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner, V Sehwag, AB de Villiers, KD Karthik","P Kumar, DW Steyn, JH Kallis, R Vinay Kumar",64
138,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,"MJ Lumb, NV Ojha, FY Fazal","JA Morkel, T Thushara, M Muralitharan",58
139,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"S Dhawan, SR Tendulkar, DJ Bravo","KAJ Roach, Jaskaran Singh, PP Ojha, RP Singh",52
140,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"DA Warner, V Sehwag, G Gambhir, KD Karthik, PD Collingwood","CH Gayle, CK Langeveldt, I Sharma, DJ Hussey",62
141,Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,"RS Bopara, SE Marsh, MS Bisla, DPMD Jayawardene","R McLaren, Z Khan, SL Malinga, Harbhajan Singh",48
142,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"MK Pandey, JH Kallis, RV Uthappa","T Thushara, MS Gony, JA Morkel",52
143,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"DA Warner, V Sehwag, G Gambhir, PD Collingwood, KM Jadhav","YK Pathan, S Narwal, AC Voges, SW Tait",52
144,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,"SC Ganguly, CH Gayle, CA Pujara","KAJ Roach, Jaskaran Singh, A Symonds, Harmeet Singh",46
145,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh, MS Bisla, KC Sangakkara","P Kumar, R Vinay Kumar, DW Steyn, JH Kallis",41
146,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,"M Vijay, ML Hayden, SK Raina","YK Pathan, S Narwal, SW Tait, SR Watson, SB Wagh",66
147,Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,"S Dhawan, SR Tendulkar","RG Sharma, RJ Harris, A Symonds, Jaskaran Singh",53
148,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"SC Ganguly, CH Gayle","IK Pathan, RR Powar, SJ Srivastava, J Theron",53
149,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"DA Warner, V Sehwag, G Gambhir, PD Collingwood","A Kumble, R Vinay Kumar, A Mithun, JH Kallis",54
150,"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,"MJ Lumb, NV Ojha, SR Watson, FY Fazal","RJ Harris, DR Smith, RP Singh, Harmeet Singh, A Symonds",48
151,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"M Vijay, ML Hayden, SK Raina","R McLaren, Harbhajan Singh, SL Malinga",42
152,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"MS Bisla, DPMD Jayawardene, KC Sangakkara","AP Dole, SR Watson, YK Pathan",52
